Date, Open, High, Low, Close
12/29/10, 6002.82, 6021.46, 5976.98, 5996.36
12/28/10, 6008.92, 6008.92, 5978.24, 6008.92
12/27/10, 6008.92, 6008.92, 5978.24, 6008.92
12/24/10, 5995.76, 6008.92, 5978.24, 6008.92
12/23/10, 5983.54, 6000.55, 5982.16, 5996.07
12/22/10, 5951.82, 5991.90, 5936.30, 5983.49
12/21/10, 5891.66, 5953.94, 5891.14, 5951.80
12/20/10, 5871.72, 5913.83, 5865.51, 5891.61
12/17/10, 5881.19, 5902.53, 5857.33, 5871.75
12/16/10, 5882.28, 5907.10, 5862.86, 5881.12
12/15/10, 5891.01, 5898.04, 5858.11, 5882.18
12/14/10, 5861.04, 5891.21, 5847.15, 5891.21
12/13/10, 5813.00, 5873.71, 5812.94, 5860.75
12/10/10, 5808.03, 5827.59, 5794.51, 5812.95
12/09/10, 5794.55, 5837.96, 5794.55, 5807.96
12/08/10, 5808.35, 5826.59, 5774.28, 5794.53
12/07/10, 5770.22, 5850.40, 5769.67, 5808.45
12/06/10, 5745.39, 5785.70, 5728.46, 5770.28
12/03/10, 5767.67, 5784.26, 5720.20, 5745.32
12/02/10, 5644.84, 5770.94, 5644.84, 5767.56
12/01/10, 5528.37, 5656.22, 5528.37, 5642.50
11/30/10, 5550.92, 5597.00, 5519.19, 5528.27
11/29/10, 5668.67, 5722.70, 5550.95, 5550.95
11/26/10, 5698.67, 5699.02, 5599.29, 5668.70
11/25/10, 5657.02, 5707.92, 5654.70, 5698.93
11/24/10, 5581.29, 5671.87, 5573.33, 5657.10
